id,Duracion,Ano,Trailer,valoracion,id_pelicula
1,181,2019,https://www.youtube.com/watch?v=TcMBFSGVi1c,8.4,28
2,122,2019,https://www.youtube.com/watch?v=zAGVQLHvwOY,8.5,29
3,103,2019,https://www.youtube.com/watch?v=bwzLiQZDw2I,6.9,30
4,132,2019,https://www.youtube.com/watch?v=5xH0HfJHsaY,8.6,31
5,117,2018,https://www.youtube.com/watch?v=g4Hbz2jLxvQ,8.4,32
6,148,2010,https://www.youtube.com/watch?v=YoHD9XEInc0,8.8,33
7,128,2016,https://www.youtube.com/watch?v=0pdqf4P9MB8,8,34
8,120,2015,https://www.youtube.com/watch?v=hEJnMQG9ev8,8.1,35
9,156,2015,https://www.youtube.com/watch?v=LoebZZ8K5N0,8,36
10,119,2019,https://www.youtube.com/watch?v=YqNYrYUiMfg,8.3,37
