id,Temporadas,Ano,Trailer,valoracion,id_serie
1,5,2008,https://www.youtube.com/watch?v=HhesaQXLuRY,8.7,1
2,8,2011,https://www.youtube.com/watch?v=rlR4PJn8b8I,5.8,2
3,4,2016,https://www.youtube.com/watch?v=b9EkMc79ZSU,7.6,3
4,6,2016,https://www.youtube.com/watch?v=JWtnJjn6ng0,7,4
5,3,2019,https://www.youtube.com/watch?v=eW7Twd85m2g,6.5,5
6,6,2013,https://www.youtube.com/watch?v=oVzVdvGIC7U,9,6
7,10,1994,https://www.youtube.com/watch?v=X9O0twHFfLw,7.2,7
8,3,2019,https://www.youtube.com/watch?v=ndl1W4ltcmg,5.8,8
9,5,2017,https://www.youtube.com/watch?v=hMANIarjT50,8.1,9
10,9,2005,https://www.youtube.com/watch?v=UauTBl5FbG0,7.4,10
11,4,2010,https://www.youtube.com/watch?v=qlcWFoNqZHc,6.1,11
12,3,2015,https://www.youtube.com/watch?v=U7elNhHwgBU,10,12
13,6,2013,https://www.youtube.com/watch?v=ULwUzF1q5w4,5.8,13
14,35,1989,https://www.youtube.com/watch?v=X5bXw5TpxKw,4.4,14
15,4,2019,https://www.youtube.com/watch?v=06rueu_fh30,7.9,15
16,3,2016,https://www.youtube.com/watch?v=1cX4t5-YpHQ,5.9,16
17,6,2013,https://www.youtube.com/watch?v=I2nT2Vl0CgY,8.2,17
18,6,2011,https://www.youtube.com/watch?v=jDiYGjp5iFg,7.1,18
19,4,2019,https://www.youtube.com/watch?v=0DAmWHxeoKw,8.3,19
