id,Nombre,Imagen
1,Accion,https://media.gq.com.mx/photos/5be9df325c1fcbd1504c3507/16:9/w_2560%2Cc_limit/john_whick_327.jpg
2,Aventura,https://thumbs.dreamstime.com/b/icono-del-libro-concepto-de-aventura-g%C3%A9nero-de-la-ficci%C3%B3n-81644130.jpg
3,Comedia,https://thumbs.dreamstime.com/z/icono-del-vector-cine-de-la-comedia-g%C3%A9nero-pel%C3%ADcula-risa-payaso-101449944.jpg
4,Drama,https://previews.123rf.com/images/anatolir/anatolir2010/anatolir201000431/156832956-icono-de-libro-de-g%C3%A9nero-literario-drama-estilo-plano.jpg
5,"Ciencia ficcion",https://mundosdeleyendas.com/wp-content/uploads/2017/04/subgenero-ciencia-ficcion.jpg
6,Fantasia,https://mundosdeleyendas.com/wp-content/uploads/2017/02/alta-fantasc3ada.jpg
7,Suspense,https://historiadelcine.es/wp-content/uploads/2021/10/psicosis-para-halloween.jpg
8,Animacion,https://i0.wp.com/imgs.hipertextual.com/wp-content/uploads/2015/07/inside-out-scaled.jpg?fit=1200%2C804&quality=55&strip=all&ssl=1
9,Romance,https://definicion.de/wp-content/uploads/2010/01/amor.jpg
10,Documental,https://historia.nationalgeographic.com.es/medio/2024/01/18/hng-242-portada_d5c28d17_240118123323_1280x1690.jpg
